resolution,duration_seconds,content_parent_category,content_fine_category,youtube_title,youtube_description,youtube_tags,youtube_categories,youtube_channel,youtube_view_count,youtube_like_count,youtube_comment_count,youtube_channel_follower_count,youtube_upload_date,youtube_age_limit,youtube_thumbnail_url,sector
480x272,90,Science & Technology,Space Missions,"Mission Control to ISS Astronaut 'Enjoy Your Impromptu Day Off'""",,"['US', 'word news', 'paris hilton', 'fedex', 'story', 'bbc news', 'cash', '2016', 'news today', 'abc news', 'dead', 'obama', 'apple', 'abc', 'weight', 'loss weight', 'boko', 'sarkozy', 'red karpet', 'white house', 'charlie', 'today', 'texas', 'new', 'OBAMA', 'president obama', 'president', 'erdogan', 'trend news', 'accident car', 'road', 'diet', '2015', 'paris', 'GMA', 'porno', 'kill', 'Mission', 'Control', 'to', 'ISS', 'Astronaut', ""'Enjoy"", 'Your', 'Impromptu', 'Day', ""Off'""]",['People & Blogs'],LittleFinger,5,1,0,667,20150115,0,,Science & Technology
640x360,393,Science & Technology,Chemistry,#Reducing #Reagents   #Sodium Triacetoxyborohydride #STAB and #Sodium Cynoborohydride #NaBH3CN,#Reducing #Reagents  #Sodium triacetoxyhydroborate #Sodium Triacetoxyborohydride #STAB and #Sodium Cynoborohydride #NaBH3CN,[],['Education'],Chemistry Study,217,32,0,1060,20221211,0,,Science & Technology
640x360,222,Science & Technology,Astronomy,"Flight to Gaia, the Hyades and out of our Milky Way","Switch on subtitles (CC) in English, German, Spanish, or Catalan! This is a video is  starting over Europe on April 25, 12:00 CEST, flying to Gaia, showing Gaia's scanning law over one year, showing the known open clusters, moving to the Hyades, letting the stars in the Hyades move over 500,000 years, moving back to the present time, moving through Gaia's star catalogue out of the Milky Way.

The video is based on Gaia's second star catalogue published on April 25, 2018 and was created with the program Gaia Sky.

Subtitles (CC) for a more detailed description are available in English, German, Spanish and Catalan.

Download of  Gaia Sky: https://zah.uni-heidelberg.de/gaia/ou...
Home page: https://zah.uni-heidelberg.de/gaia/ou...

Astronomisches Rechen-Institut - Univeristy of Heidelberg
http://ari.uni-heidelberg.de

With support by DLR und BMWi
http://www.dlr.de/
http://www.bmwi.de/
Category
Science & Technology
License
Creative Commons Attribution license (reuse allowed)
Category
Science & Technology
License","['Gaia', 'ESA', 'astrometry', 'Gaia Sky', 'Hyades', 'stars', 'astronomy', 'DPAC']",['Science & Technology'],Stefan Jordan,955,4,0,367,20180425,0,,Science & Technology
640x360,186,Science & Technology,Conservation Efforts,Cleaning a tiny 500-year-old embroidered book | In the Conservation Studio | British Library,"'You've got to make friends with the items before you can actually work on them.'

Watch our Textile Conservator Liz Rose work on a fascinatingly intricate embroidered book cover from the 16th century, preserving it for future use.

Find out more about our conservation: https://www.bl.uk/conservation
Your support makes this possible: bl.uk/support",[],['Education'],British Library,2232,97,5,75400,20230721,0,,Science & Technology
202x360,21,Science & Technology,Climate Change,One Earth: Earth,"Biodiversity is the spice of life 🌶 Here's (@)Phil The Fixer to show us how we can protect it!
Head to fossilfueltreaty.org to discover a way to play your part in #ClimateAction 💪  

#GenChange #OnlyOneEarth #fossilfuels #climatejustice #climatechange #climatecrisis 

SUBSCRIBE to MTV Shuga to watch the latest episodes and get correct information around sex education. all the behind info on what the cast are up to.

FOLLOW us so you never miss a beat. You can get MTV Shuga on the go.

http://www.mtvshuga.com
http://www.twitter.com/MTVShuga
http://www.facebook.com/MTVShuga
http://www.instagram.com/MTVShuga","['African Entertainment MTV Shuga Shuga MTV Shuga Naija Sex education', 'Birth control', 'Victim blaming', 'Teen pregnancy', 'Pull out method', 'Emergency pill', 'Unprotected sex', 'Infection', 'Honey and Banana', 'Timini Egubuson', 'Richard Mofe-Damijo', 'Adebukola Oladipupo', 'Dorcas Shola Fapson', 'Tobi Bakre', 'Omowunmi Dada', 'Uzamaka Aniunoh', 'Tomiwa Tegbe', 'Amal Umar', 'Sharon Jatto', 'Olumide Oworu', 'Emmanuel Ikubese', 'Nick Mutuma']",['Entertainment'],MTV Shuga,708,20,0,301000,20220601,0,,Science & Technology
626x360,410,Lifestyle,Recipe Videos,"Vendakka Moru Curry, Ladysfinger Yoghurt Curry, Okra curd curry","VENDAKKA MORU CURRY IN MALAYALAM, OKRA CURD CURRY.","['vendakka moru curry in malayalam', 'vendakka moru kulambu', 'vendakka curry malayalam recipe', 'vendakka curry in malayalam', 'vendakka', 'vendakkai', 'vendakkai kulambu', 'vendakka curry', 'vendakka recipe', 'vendakkai benefits', 'vendakka health benefits', 'vendakka curry kerala', 'vendakka curry recipe', 'easy vendakka curry recipe', 'vendakka items', 'vendakka malayalam', 'nadan vendakka curry laddu recipe in malayalam', 'cooking malayalam', 'palaharam recipe in malayalam', 'Valsala kitchen', 'Valsalas Kitchen']",['Howto & Style'],Valsala's Kitchen,32265,297,40,33400,20180911,0,,Lifestyle
270x480,48,Lifestyle,Fashion Hauls,The secrets behind the luxurious Goyard Mini Anjou Bag👜,"Ready to unlock the secrets behind the luxurious Goyard Mini Anjou Bag? 👜

In this video, I will be sharing an exclusive review of this statement piece. From its celebrity appeal to its intricate craftsmanship, you'll get the inside scoop on all things Goyard. 👀 

Ready to uncover the secrets? Share your thoughts in the comments below!

DISCLAIMER: This is an UNSPONSORED review. I purchased all of these products myself and am not affiliated with the brand mentioned in any way. All statements and expressions made about the products are solely the opinion of Tanner Leatherstein and are not meant to be conclusive or definitive. The purpose of this video is for informational and educational purposes only. We recommend that as a consumer, you exercise your due diligence and research on the products before adopting the opinion of Tanner Leatherstein. 

---

#goyard #goyardbag #goyardtote #goyardwallet #goyardparis #goyardthailand #goyardph #goyardwalletthailand #goyardbags #goyardanjou #goyardanjoumini #goyardanjouthailand #anjou #minianjou #luxury #luxurybags #luxurylifestyle #luxurylife #luxurybrand #luxuryleather #luxuryleathergoods #luxuryleatherbags #tannerleatherstein #leather #leathershop #leathergoods #leatherworkshop #leatherstore #leatherbrand #fashion","['anjou mini bag', 'anjou mini goyard', 'anjou mini goyard review', 'anjou mini review', 'bag review', 'bag shopping', 'coated canvas', 'dissection', 'fashionpile', 'goyard', 'goyard anjou', 'goyard anjou mini', 'goyard bag', 'goyard bags', 'goyard paris', 'goyard review', 'goyard tote', 'goyard wallet', 'is it worth it', 'leather bag review', 'leather craft', 'leather goods', 'leathercraft', 'luxury', 'luxury bag', 'luxury bag collection', 'luxury bag unboxing', 'luxury brand review', 'luxury brands comparison', 'tanner leatherstein']",['Entertainment'],Tanner Leatherstein,161401,3843,100,412000,20240326,0,,Lifestyle
640x360,560,Lifestyle,Skincare Routines,Botox in a bottle? I put Revox Line Relaxer to the test - plus how it compares to argireline,"In this video I share my before and after results with Revision Skincare's Revox Line Relaxer, a peptide-based serum designed to relax facial wrinkles and hailed by some as Botox in a bottle. So does it work and how does it compare to cheaper products that promise similar results?
#wrinklereduction #wrinkletreatment #wrinkleremovercream 

SUBSCRIBE TO MY CHANNEL HERE https://www.youtube.com/c/TheHonestChannel?sub_confirmation=1
Connect with me on Instagram https://www.instagram.com/honestclare

PRODUCTS WITH ARGIRELINE:
Revision Skincare Revox Line Relaxer https://go.shopmy.us/p-949197
Cos De Baha Peptide Serum with similar ingredients and just $10!! https://go.shopmy.us/p-949202
Cos De Baha Serum on Amazon https://amzn.to/3XC1sKl
The Ordinary Argireline Solution https://go.shopmy.us/p-949195
Eclat Anti Wrinkle Cream https://amzn.to/3ZxpKXH

You can find links and, where possible, discount codes for some of my favourite anti-aging and beauty products at https://go.shopmy.us/TheHonestChannel

I use affiliate links on this channel which means if you choose to buy a product using one of my links I receive a small commission from the retailer - thank you! : )

CHAPTERS:
00:00 Intro
01:08 What's in Revox Line Relaxer and how does it work?
04:04 How does it compare to argireline?
05:06 My experience plus before and afters
06:43 My verdict

This video is not sponsored. You can find my commercial policy here https://www.youtube.com/@TheHonestChannel/about

https://twitter.com/ClareS_J
https://www.facebook.com/honestclare/ 
Edited by David at https://www.redfacilities.com",['argiriline'],['Howto & Style'],The Honest Channel,16073,619,124,87600,20230115,0,,Lifestyle
640x360,640,Lifestyle,Home Improvement,BIOHOME ULTIMATE - FILTER MEDIA DOES NOT GET ANY BETTER,"All the Biohome media can be bought here (I supply worldwide): 
http://www.filterpro.co.uk (also has links to other suppliers).
This media combines the ultra porous structure of Biohome mini ultra with the added trace elements found in Biohome plus to create the Ultimate filter media.

With the available surface area supporting aerobic bacteria and the protected inner core supporting anaerobic bacteria, ammonia, nitrite and nitrate are processed effectively. Works well at high and low flow rates so forget about having to force the volume of your aquarium through the media 'x' amount of times per hour as you would with other types of filter media.

Perfect for both fresh water and marine systems, biohome filter media will replace any ceramic or plastic media in external canister, overhead, trickle, shower, hang on or sump filters.

The added trace elements and open pore structure in Biohome Ultimate offer the ultimate home for all beneficial bacteria, cutting the time taken to establish a strong fully functional bacterial colony a matter of 2-3 weeks and include the following:
Silica, Titania, Alumina, Ferric Oxide, Lime, Magnesia, Potash, Soda, Phosphorus Pentoxide, Chromium Sesquioxide, Manganic Oxide, Zirconia, Hafnia, Zinc Oxide, Barium Oxide, Strontia, Stannic Oxide, Sulphur Trioxide. (from XRF analysis)
CHECK THOSE NAMES AGAINST THIS INFORMATION SITE FOR BACTERIAL GROWTH AND NUTRITION: 
http://textbookofbacteriology.net/nutgro.html

US Biohome Stockist - http://greatwaveeng.com
Any questions please contact Richard (Pondguru) 07772848730 
or sales@filterpro.co.uk

Filter media does not get any better than this but for an extra quick set-up time each order taken from Ebay or through the website has free gel filter starter balls (5 per kg) to rapidly seed the filter with live bacteria.
Forget about adding all sort of sachets and monthly chemical absorbers to your filter. Keep it simple and arrange the filter correctly with the best filter media available. 
Many of the filter products available are a waste of time and money and will simply mask the problems caused by an ineffective filter. See this video on setting up an external canister filter for directions on how to get the most out of your filter and have it working at maximum efficiency:  
http://www.youtube.com/watch?v=szrUlHTW5Zo
Simply protect the media with good graded foams and fine particle matting / pad to remove suspended solids (which clog any filter media) and your media will give you years of service.
The test in this video is to demonstrate how easily the water can find the inner structure of the media as you can say your media has the largest available area for bacteria but if the water can't get there what is the point?. It is not part of a full comparison between filter different medias. That will come in a future video.
Thanks for watching and check out my other videos.
Subscribe for more:
http://www.youtube.com/pondguru

Additional aquatic tags:
pondguru, tyne valley aquatics, tropical fish for sale, mail order tropical fish, how to build a koi pond, how to make a wildlife pond, how to make a diy filter, how to set up an aquarium, how to light a fire, rabbit shooting guide, how to build an aquarium, how to set up a mbuna tank, how to clean an aquarium, how to build an igloo, tropical fish, koi carp for sale, newcastle, durham, gateshead, sunderland, carlisle, leeds, nottingham, manchester, london, scotland, .17hmr, .22, bushcraft, how to breed tropical fish, cascade, stream, oase, aquamax, filtoclear, corydoras, caridina, angelfish, discus, plec, pleco, tetra, guppy, swordtail, platy, electric blue ram, how to make a fish pond, planted tank, shrimp tank, apistogramma, clown loach, goldfish, air pump, moving bed filter, K1, cichlid, oscar, piranha, waterfall, landscaping, hoselock, natural stone pond, raised, breeding fish, blue, red, green, monster, giant, livebearer, malawi cichlids, tanganyikan cichlids, snake, newt, frog, toad, aqua one, aquarium maintenance, how to breed discus, beach detecting, fish tank, diy filter, for aquarium, how to build a fish tank, 100, 200, 300, 400, 500, 600, litre, gallon, monster, huge, massive, biggest, oscar eats, piranha eats, arowana eats, howto, how to set up an aquarium, installing filtration, make a 3d background, freshwater aquarium, saltwater aquarium, marine tank, blackwater, breeding, set up, step by step, build, sump, tank filtration, overhead, external, efficient, best, homemade, home made, bottomless aquarium, construction of a, community species, community fish, cichlids, reef, nano tank, micro, shrimp, crab, algae eater","['biohome ultimate', 'biohome', 'biohome vs matrix', 'matrix vs biohome', 'biohome filter media', 'biohome filter', 'biogravel', 'tropical fish', 'pondguru', 'planted tank', 'trickle filter aquarium', 'aquarium trickle filter', 'how to make an aquarium filter', 'marine filter', 'shower filter', 'diy filter media', 'moving bed filter', 'diy aquarium filter', 'community aquarium', 'aquarium videos', 'how to build a fish pond', 'fishing', 'best filter media', 'canister filter', 'koi filter', 'how to set up a canister filter', 'plec']",['Pets & Animals'],Pondguru,105538,965,667,151000,20130902,0,,Lifestyle
640x360,443,Lifestyle,Home Improvement,EMPTY APARTMENT TOUR | NEWLY RENOVATED TORONTO LOFT | getawei,"Welcome to my new loft apartment! This is probably the most exciting video (for me LOL) because it was such a huge milestone for me last year. I bought (with my parents) an apartment in downtown Toronto and I also go the chance to renovate the entire unit and I’m super excited to show you guys :) 

Love,
Lisa

https://www.instagram.com/getawei
https://www.getawei.com

I’ve included the links of everything that I’ve purchased to complete my renovations. Please see them below:

BATHROOM:

- Moen Gold Toilet Paper Holder: https://go.magik.ly/ml/to87/
- Moen Gold Sink Faucet: https://go.magik.ly/ml/to89/
- Ikea Bathroom Vanity (GODMORGON; for some reason the colour/style looks different. maybe my exact one was discontinued): https://www.ikea.com/ca/en/p/godmorgon-odensvik-bathroom-vanity-brown-stained-ash-effect-dalskaer-faucet-s69305188/
- Gold Mirror: https://go.magik.ly/ml/to8b/
- Ikea Wall Lights: (can’t find exact link anymore either…)
- Shelves: https://go.magik.ly/ml/to8c/
- Sink & Tub: from TUBS Markham
- Toilet: COSTCO, baby!!! 

KITCHEN:

- Cabinet Handles (this style in two different sizes): https://go.magik.ly/ml/to8d/
- SINK FAUCET (i’m actually obsessed with this): https://go.magik.ly/ml/to8f/
- Kitchen Sink: Costco

LIVING ROOM:
- Gold Light: https://go.magik.ly/ml/to8i/

BEDROOM:
- Chandiler: https://go.magik.ly/ml/to8g/

Video filmed by Leslie Seto
Check out his Instagram! https://www.instagram.com/setography/
Check out his website! http://www.setography.com/

ENDY DISCOUNT: WEI50 FOR $50 OFF YOUR PURCHASE!!!

WHAT I’M WEARING:

Pants: Aritzia White Cohen Pants https://www.aritzia.com/en/product/cohen-pant-terado/43443.html?dwvar_43443_color=1274
Top: Aritzia Hasek Blouse https://www.aritzia.com/en/product/hasek-blouse/74826.html

This video is not sponsored (product for Endy was gifted). Some links may be affiliate.
See you in my next video ;) 

Keep up with me on Instagram! www.instagram.com/getawei

--------
***DISCOUNTS & HOOKUPS ;)***

MEJURI 10% OFF:
https://mejurifinecrew.sjv.io/NKz97v

VERB HAIR PRODUCTS 15% OFF:
http://bit.ly/2Xwy1xW

$50 OFF ENDY MATTRESS WITH CODE:
WEI50
https://endy-sleep-ca.evyy.net/96ovy

SHEERTEX
https://glnk.io/4rj4/getawei
Code: GETAWEI10

GOLI GUMMY BEARS 5% OFF
https://go.goli.com/getawei
Code: getawei

MY MUST-HAVE AMAZON ITEMS: 
https://www.amazon.com/shop/getawei

--------

FOLLOW ME!
Instagram ---- https://www.instagram.com/getawei
Facebook ---- @getawei.blog
Blog ---- https://www.getawei.com
Business Inquiries ---- getawei.blog@gmail.com

--------

Disclosure: links are affiliates

THANK YOU FOR WATCHING!Facebook ---- @getawei.blog
Blog ---- www.getawei.com
Business Inquiries ---- getawei.blog@gmail.com

--------

MUSIC:
Music provided by Vlog No Copyright Music.


THANK YOU FOR WATCHING!","['inspo', 'fashion inspo', 'toronto', 'vancouver', 'fashion', 'fashion blogger', 'canadian', 'outfits', 'comfortable outfits', 'comfy outfits', 'stylish outfits', '2017 trends', '2017 outfits', 'fall 2017 outfits', 'aritzia', 'myaritzia', 'forever 21', 'garage', 'clothing', 'stylish', 'blogger']",['Howto & Style'],Lisa Wei,119328,3052,157,21700,20200122,0,,Lifestyle
640x360,268,Sports,Career Highlights,Life at the Academy - Queensland Police Service,"A career in policing offers a unique blend of excitement, learning, and the opportunity to positively influence the community. There is no better time to join the Queensland Police Service.

Visit https://www.policerecruit.qld.gov.au/ to take the first step towards a challenging and rewarding career and apply now.","['qps', 'queensland police service', 'queensland police', 'qld police', 'qld', 'queensland', 'police', 'cop', 'cops']",['News & Politics'],QueenslandPolice,18366,0,0,11000,20230921,0,,Sports
640x360,251,Sports,Career Highlights,Kerry Mills | Trainer Assessor,A day in the life of one of our Trainer Assessors. Find out more about working for Interserve Learning & Employment here - https://learning-employment.com/work-for-us/,"['Interserve', 'employment', 'skills', 'apprenticeship', 'training']",['Education'],Interserve Learning & Employment,892,7,0,324,20170223,0,,Sports
270x480,31,Sports,Career Highlights,Piccadilly Talks Ep 2 Gem,"As our host @always_anglq stated, you can visit the #OEC to get career advice & more. Find out about us when you watch EP2 of #PiccadillyTalks on our YouTube channel. Link in our bio! All episodes are available.

Stay tuned for Season 2 #comingsoon #Subscribe #Comment #Share",[],['People & Blogs'],Overseas Exams,39,5,0,32500,20231213,0,,Sports
526x360,406,Sports,Sports Talk Shows,Wasim Akram PHENOMENAL Bowling Spell VS India KOLKATA 1999 + Short Interview,"#WasimAkram #Pakistan #India 
2nd Channel: https://m.youtube.com/channel/UCLjBF328Yp3FI3m2zpsyl8w/videos",[],['Sports'],Pakcricket101,345761,2344,261,22100,20210713,0,,Sports
